Title,Artist,Category,Release Date,Lyric
예뻤어 - DAY6 (데이식스),DAY6 (데이식스),록/메탈,2017.02.06,지금 이 말이|우리가 다시|시작하자는 건 아냐|그저 너의|남아있던 기억들이|떠올랐을 뿐이야|정말 하루도 빠짐없이 너는|사랑한다 말해줬었지|잠들기 전에 또|눈 뜨자마자 말해주던 너|생각이 나 말해보는 거야|예뻤어|날 바라봐 주던 그 눈빛|날 불러주던 그 목소리|다 다|그 모든 게 내겐|예뻤어|더 바랄게 없는듯한 느낌|오직 너만이 주던 순간들|다 다|지났지만|넌 너무 예뻤어|너도 이제는|나와의 기억이|추억이 되었을 거야|너에게는|어떤 말을 해도 다|지나간 일일 거야|정말 한번도 빠짐없이 너는|나를 먼저 생각해줬어|아무 일 아니어도|미안해 고마워 해주던 너|생각이 나 말해보는 거야|예뻤어|날 바라봐 주던 그 눈빛|날 불러주던 그 목소리|다 다|그 모든 게 내겐|예뻤어|더 바랄게 없는듯한 느낌|오직 너만이 주던 순간들|다 다|지났지만|넌 너무 예뻤어|아직도 가끔 네 생각이 나|어렵게 전화를 걸어볼까|생각이 들 때도 많지만|Baby I know it's already over|아무리 원해도 너는 이제|이미 끝나버린 지난날의|한편의 영화였었단 걸|난 알아|마지막|날 바라봐 주던 그 눈빛|잘 지내라던 그 목소리|다 다|그마저도 내겐|예뻤어|내게 보여준 눈물까지|너와 가졌던 순간들은|다 다|지났지만|넌 너무 예뻤어|
밤양갱 - 비비 (BIBI),비비 (BIBI),R&B/Soul,2024.02.13,떠나는 길에 니가 내게 말했지|‘너는 바라는 게 너무나 많아|잠깐이라도 널 안 바라보면|머리에 불이 나버린다니까’|나는 흐르려는 눈물을 참고|하려던 얘길 어렵게 누르고|‘그래 미안해’라는 한 마디로|너랑 나눈 날들 마무리했었지||달디달고 달디달고 달디단 밤양갱 밤양갱|내가 먹고 싶었던 건 달디단 밤양갱 밤양갱이야||떠나는 길에 니가 내게 말했지|‘너는 바라는 게 너무나 많아’|아냐 내가 늘 바란 건 하나야|한 개뿐이야 달디단 밤양갱||달디달고 달디달고 달디단 밤양갱 밤양갱|내가 먹고 싶었던 건 달디단 밤양갱 밤양갱이야||상다리가 부러지고|둘이서 먹다 하나가 쓰러져버려도|나라는 사람을 몰랐던 넌||떠나가다가 돌아서서 말했지|‘너는 바라는 게 너무나 많아’|아냐 내가 늘 바란 건 하나야|한 개뿐이야 달디단 밤양갱
사랑은 늘 도망가 - 임영웅,임영웅,발라드/국내드라마,2021.10.11,눈물이 난다 이 길을 걸으면|그 사람 손길이 자꾸 생각이 난다|붙잡지 못하고 가슴만 떨었지|내 아름답던 사람아|사랑이란 게 참 쓰린 거더라|잡으려 할수록 더 멀어지더라|이별이란 게 참 쉬운 거더라|내 잊지 못할 사람아|사랑아 왜 도망가|수줍은 아이처럼|행여 놓아버릴까 봐|꼭 움켜쥐지만|그리움이 쫓아 사랑은 늘 도망가|잠시 쉬어가면 좋을 텐데|바람이 분다 옷깃을 세워도|차가운 이별의 눈물이 차올라|잊지 못해서 가슴에 사무친|내 소중했던 사람아|사랑아 왜 도망가|수줍은 아이처럼|행여 놓아버릴까 봐|꼭 움켜쥐지만|그리움이 쫓아 사랑은 늘 도망가|잠시 쉬어가면 좋을 텐데|기다림도 애태움도 다 버려야 하는데|무얼 찾아 이 길을 서성일까|무얼 찾아 여기 있나|사랑아 왜 도망가|수줍은 아이처럼|행여 놓아버릴까 봐|꼭 움켜쥐지만|그리움이 쫓아 사랑은 늘 도망가|잠시 쉬어가면 좋을 텐데|잠시 쉬어가면 좋을 텐데|
MAESTRO - 세븐틴 (SEVENTEEN),세븐틴 (SEVENTEEN),댄스,2024.04.29,SEVENTEEN Right here||시작하자 Tuning 맞춰볼까|하나의 음정 기준에 맞춰 Play it|SEVENTEEN의 스케르초|아무래도 조금 특이해도 북을 치고 줄을 튕겨|DAT DA RA DAT DA RA DAT DA RA DA||상관없지 이게 Classic or new thang|또 새로운 조합은 우리 자랑이니까|Beat부터 Melody까지|Mix and match가 특기니까|미쳐야만 정상이 돼|세상을 바꾸는 우리니까||뜨거운 함성 두 배로|서로를 바라본 채로|나팔을 울려 세계로|You & I|You & I||Accelerando|절정으로 올라가자|높은 곳에서 울리는 소나타|마에스트로의 지휘에 맞춰||LALA LALA LALA LALALA|LALA LALA LALA LALALA|LALA LALA LALA LALALA|마에스트로의 지휘에 맞춰||Good vibe 잃지 않고 가 절대|Good life 우리는 세계로|Good vibe 잃지 않고 가 절대|마에스트로의 지휘에 맞춰||리듬을 바꿨다 이렇게|Techno와 조합해 뭐든지 가능해|주문해 만들어 드릴게||이 작품의 완성을 함께할 때|비로소 하나 되는 우릴 보네|복잡한 음정과 리듬에서도|I’ll always be with you||Accelerando|절정으로 올라가자|높은 곳에서 울리는 소나타|마에스트로의 지휘에 맞춰||LALA LALA LALA LALALA|LALA LALA LALA LALALA|LALA LALA LALA LALALA|마에스트로의 지휘에 맞춰||Good vibe 잃지 않고 가 절대|Good life 우리는 세계로|Good vibe 잃지 않고 가 절대|마에스트로의 지휘에 맞춰||리듬은 DAT DA DA RAT DA|Brass는 BA BA BA RAM BA|조화로운 우리 서로를 봐||더 세게 몰아쳐 점점 더 Crescendo|마지막 악장에 템포는 A Tempo|마에스트로의 지휘에 맞춰||마에스트로의 지휘에 맞춰||LALA LALA LALA LALALA|Good vibe 잃지 않고 가 절대|LALA LALA LALA LALALA|Good life 우리는 세계로|LALA LALA LALA LALALA|Good vibe 잃지 않고 가 절대|마에스트로의 지휘에 맞춰||
한 페이지가 될 수 있게 - DAY6 (데이식스),DAY6 (데이식스),록/메탈,2019.07.15,솔직히 말할게|많이 기다려 왔어|너도 그랬을 거라 믿어|오늘이 오길|매일같이 달력을 보면서|솔직히 나에게도|지금 이 순간은|꿈만 같아 너와 함께라|오늘을 위해|꽤 많은 걸 준비해 봤어|All about you and I|다른 건 다 제쳐 두고|Now come with me|Take my hand|아름다운 청춘의 한 장|함께 써내려 가자|너와의 추억들로|가득 채울래|Come on|아무 걱정도 하지는 마|나에게 다 맡겨 봐|지금 이 순간이|다시 넘겨볼 수 있는|한 페이지가 될 수 있게|This is our page|Our page|솔직히 말할게|지금이 오기까지|마냥 순탄하진 않았지|오늘이 오길|나도 목 빠져라 기다렸어|솔직히 나보다도|네가 몇 배는 더|힘들었을 거라고 믿어|오늘을 위해|그저 견뎌줘서 고마워|All about you and I|다른 건 다 제쳐 두고|Now come with me|Take my hand|아름다운 청춘의 한 장|함께 써내려 가자|너와의 추억들로|가득 채울래|Come on|아무 걱정도 하지는 마|나에게 다 맡겨 봐|지금 이 순간이|다시 넘겨볼 수 있는|한 페이지가 될 수 있게|Want you to|Come on out and have fun|Want us to|Have the time of our life|Oh|너와의 추억들로|가득 채울래|Come on|아무 걱정도 하지는 마|나에게 다 맡겨 봐|지금 이 순간이|다시 넘겨볼 수 있는|한 페이지가 될 수 있게|This is our page|Our page|
Love wins all - 아이유,아이유,발라드,2024.01.24,Dearest  Darling  My universe|날 데려가 줄래?|나의 이 가난한 상상력으론|떠올릴 수 없는 곳으로||저기 멀리 from Earth to Mars|꼭 같이 가줄래?|그곳이 어디든  오랜 외로움|그 반대말을 찾아서||어떤 실수로|이토록 우리는|함께일까||세상에게서 도망쳐 Run on|나와 저 끝까지 가줘 My lover|나쁜 결말일까 길 잃은 우리 둘 um||부서지도록 나를 꼭 안아|더 사랑히 내게 입 맞춰 Lover|Love is all Love is all|Love Love Love Love||결국  그럼에도 |어째서 우리는|서로일까||세상에게서 도망쳐 Run on|나와 저 끝까지 가줘 My lover|나쁜 결말일까 길 잃은 우리 둘 um||찬찬히 너를 두 눈에 담아|한 번 더 편안히 웃어주렴||유영하듯 떠오른|그날 그 밤처럼 |나와 함께 겁 없이|저물어줄래?||산산히 나를 더 망쳐 Ruiner|너와 슬퍼지고 싶어 My lover||필연에게서 도망쳐 Run on|나와 저 끝까지 가줘 My lover|일부러 나란히 길 잃은 우리 두 사람||부서지도록 나를 꼭 안아|더 사랑히 내게 입 맞춰 Lover|Our Love wins all Love wins all|Love Love Love Love
온기 - 임영웅,임영웅,발라드,2024.05.06,아무도 모를 거야|말한 적 없을 테니|아이처럼 울고 싶은 순간들|어른이란 말은 참 그댈 힘들게 하죠|더 외롭게 만들어||힘겨운 걸음으로 먼 길을 걸었는데|가고 싶은 곳은 어디였는지|어둡고 깊은 곳에 웅크려 앉은 그댈|난 떠나지 않겠어요||아무리 먼 길을 떠났어도|아무리 긴 시간이 흘러도|이 길 끝에 떠오르는 태양을 만날 때까지|난 곁에 있겠어요||힘겨운 걸음으로 먼 길을 걸었는데|가고 싶은 곳은 어디였는지|세상이 지독하게 그댈 혼자 둘 때엔|단 하나만 기억해요||아무리 먼 길을 떠났어도|아무리 긴 시간이 흘러도|이 길 끝에 떠오르는 태양을 만날 때까지|난 곁에 있어요||(I will be with you) 혼자인 것 같아|(I can be your only one) 그 어둠 속에 단 한 번의 용기  단 한 사람의 온기|(Wanna be Warm) 그 작은 시작이 돼 줄 수 있어(in your life)||또다시 먼 길을 떠나도|한 번 더 긴 시간이 가도|이 길 끝에 떠오르는 태양을 만날 때까지|난 곁에 있겠어요|나 곁에 있어요|
우리들의 블루스 - 임영웅,임영웅,발라드,2022.05.02,잊지는 말아요 함께 했던 날들|눈물이 날 때면|그대 뒤를 돌아보면 돼요|아프지 말아요 쓸쓸한 마음에|힘든 일이 참 많았죠 그대에겐|내가 곁에 있을게요|그댈 위해 노래할게요|잊지 말아요|그댈 위해 약속할게요|언젠가 우리 시간 지나면|알게 되겠죠|그땐 웃을 수 있죠 나 약속할게요|그땐 미소 짓겠죠|작은 행복까지 모두|외롭고 지칠 때 손잡아 줄게요|슬픔이 짙어질 때면 위로해 줄|그 한 사람이 될게요|그대 부디 울지 말아요|슬퍼 말아요|그대에게 빛이 될게요|언젠가 우리 시간 지나면|알게 되겠죠|그땐 웃을 수 있죠 나 약속할게요|폭풍 속에 혼자 남아 헤매도 오|길이 되어 지킬게요 그대|그댈 위해 노래할게요|잊지 말아요|그댈 위해 약속할게요|어두운 길을 밝게 비추는|그대의 빛이 될게요|
모래 알갱이 - 임영웅,임영웅,발라드,2023.06.05,나는 작은 바람에도 흩어질|나는 가벼운 모래 알갱이|그대 이 모래에 작은 발걸음을 내어요|깊게 패이지 않을 만큼 가볍게|나는 작은 바람에도 흩어질|나는 가벼운 모래 알갱이|그대 이 모래에 작은 발자국을 내어요|깊게 패이지 않을 만큼 가볍게|그대 바람이 불거든|그 바람에 실려 홀연히 따라 걸어가요|그대 파도가 치거든|저 파도에 홀연히 흘러가리|그래요 그대여 내 맘에|언제라도 그런 발자국을 내어줘요|그렇게 편한 숨을 쉬듯이|언제든 내 곁에 쉬어가요|그대 바람이 불거든|그 바람에 실려 홀연히 따라 걸어가요|그대 파도가 치거든|저 파도에 홀연히 흘러가리|그래요 그대여 내 맘에|언제라도 그런 발자국을 내어줘요|그렇게 편한 숨을 쉬듯이|언제든 내 곁에 쉬어가요|언제든 내 맘에 쉬어가요|
Home - 임영웅,임영웅,댄스,2024.05.06,쓸쓸한 거리에|외로움이 더 쌓이고|사람도 이 밤도|사랑 찾아 헤매이네||그대 마음이 허전하다면|밤 하늘의 별을 보며 날 떠올려요|난 곁에 있어||그댄 나의 친구야|비 오는 날 우산이 되어줘|해가 뜨는 날에는 널 지켜줄게|When I Go! Shining Star|And I Go! Don't stop baby|평생 너와 함께 하리라||쓸쓸한 거리에|외로움이 더 쌓이고|사람도 이 밤도|사랑 찾아 헤매이네||그대 마음이 지쳐있다면|단 하루도 울지 말고 날 떠올려요|난 곁에 있어||그댄 나의 친구야|비 오는 날 우산이 되어줘|해가 뜨는 날에는 널 지켜줄게|When I Go! Shining Star|And I Go! Don't stop baby|평생 너와 함께 하리라||When you feel so alone|Remember that I’m with you|너와 함께라면 어디든 내가 갈게|어디든 다 갈게||그댄 나의 친구야|비 오는 날 우산이 되어줘|해가 뜨는 날에는 널 지켜줄게|When I Go! Shining star|And I Go! Don't stop baby|평생 너와 함께 하리라||
